masv,ho,ten,gioitinh,ngaysinh,email,didong,cmnd,hocbong,makh
V0601,Văn Phú,Thu,True,1999-07-03 00:00:00,vpthu@gmail.com,0168777791          ,058182344785,1000000,VL
V0602,Khương Thị Thanh,Thúy,False,1999-06-03 00:00:00,kttthuy@gmail.com,0168682471          ,690435500843,3000000,VL
V0603,Đinh Thảo,Nhung,False,1999-03-19 00:00:00,dtnhung@gmail.com,0987842567          ,538878751363,3000000,VL
V0604,Văn Thị,Loan,False,1999-08-18 00:00:00,vtloan@gmail.com,0168551652          ,378883241715,2000000,VL
V0605,Lê Minh,Tâm,True,1999-07-14 00:00:00,lmtam@gmail.com,0987838753          ,482850787650,3000000,VL
V0606,Mã Nam,Thiệu,True,1999-06-15 00:00:00,mnthieu@gmail.com,0913378668          ,354721534223,0,VL
V0607,Cao Phú,Phương,False,1999-11-26 00:00:00,cpphuong@gmail.com,0987519816          ,458884510375,2000000,VL
V0608,Khương Thị,Hương,False,1999-12-05 00:00:00,kthuong@gmail.com,0987225836          ,202286585010,3000000,VL
V0609,Bạch Phú,Thu,False,1999-06-07 00:00:00,bpthu@gmail.com,0168937401          ,741836643417,3000000,VL
V0610,Lê Vĩnh,Thăng,True,1999-07-21 00:00:00,lvthang@gmail.com,0168377187          ,637751175568,1000000,VL
V0611,Khương Văn Minh,Tuấn,True,1999-07-26 00:00:00,kvmtuan@gmail.com,0987477368          ,154307286045,2000000,VL
V0612,Thái Phương,Minh,True,1999-06-22 00:00:00,tpminh@gmail.com,0913574615          ,418879347250,3000000,VL
V0613,Mã Thị Thanh,Nhung,False,1999-07-29 00:00:00,mttnhung@gmail.com,0913178360          ,787870782636,0,VL
V0614,Hoàng Nam,Mẫn,True,1999-05-14 00:00:00,hnman@gmail.com,0987181087          ,103864860347,3000000,VL
V0615,Mã Thanh,Minh,True,1999-07-03 00:00:00,mtminh@gmail.com,0913778835          ,953519172866,1000000,VL
V0616,Đàm Thị Thảo,Đào,False,1999-08-09 00:00:00,dttdao@gmail.com,0168371006          ,928040346137,0,VL
V0617,Lý Vĩnh,Trọng,True,1999-10-29 00:00:00,lvtrong@gmail.com,0987558845          ,338817568834,2000000,VL
V0618,Vương Mạnh,Huy,True,1999-11-13 00:00:00,vmhuy@gmail.com,0987366723          ,139770678869,0,VL
V0619,Phạm Minh,Minh,True,1999-05-20 00:00:00,pmminh@gmail.com,0168664518          ,741542871503,1000000,VL
V0620,Lê Mạnh,Bảo,True,1999-02-24 00:00:00,lmbao@gmail.com,0987962869          ,075196777933,1000000,VL
V0621,Vương Thị Thanh,Thúy,False,1999-08-12 00:00:00,vttthuy@gmail.com,0987668123          ,752985556125,1000000,VL
V0622,Vương Vĩnh,Thiện,True,1999-09-04 00:00:00,vvthien@gmail.com,0987015083          ,948666895382,2000000,VL
V0623,Đàm Minh,Ngọc,False,1999-07-28 00:00:00,dmngoc@gmail.com,0168635234          ,327920840705,0,VL
V0624,Bạch Phú,Phương,True,1999-07-14 00:00:00,bpphuong@gmail.com,0987594847          ,019943867210,2000000,VL
V0625,Phạm Văn Minh,Bảo,True,1999-04-28 00:00:00,pvmbao@gmail.com,0168901116          ,537147614657,2000000,VL
V0626,Lý Nam,Lộc,True,1999-06-08 00:00:00,lnloc@gmail.com,0913906165          ,302014755952,3000000,VL
V0627,Thái Thảo,Mai,False,1999-08-15 00:00:00,ttmai@gmail.com,0987602755          ,483195833555,3000000,VL
V0628,Khương Vĩnh,Dũng,True,1999-06-27 00:00:00,kvdung@gmail.com,0913567525          ,011242895119,0,VL
V0629,Lý Nam,Thăng,True,1999-05-30 00:00:00,lnthang@gmail.com,0168856288          ,180263208447,2000000,VL
V0630,Khương Minh,Mỹ,True,1999-01-17 00:00:00,kmmy@gmail.com,0987286777          ,387739954289,2000000,VL
V0631,Lâm Bạch,Thanh,True,1999-09-04 00:00:00,lbthanh@gmail.com,0913188116          ,152576669409,1000000,VL
V0632,Đinh Mạnh,Hòa,True,1999-10-12 00:00:00,dmhoa@gmail.com,0168636666          ,118743121674,3000000,VL
V0633,Lý Văn Minh,Tân,True,1999-02-23 00:00:00,lvmtan@gmail.com,0987393548          ,181573308348,3000000,VL
V0634,Đặng Ngọc,Ngân,True,1999-08-07 00:00:00,dnngan@gmail.com,0168326271          ,824588280726,3000000,VL
V0635,Văn Văn,Huy,True,1999-12-04 00:00:00,vvhuy@gmail.com,0168634644          ,492469053717,0,VL
V0636,Đặng Thảo,Nhung,False,1999-05-05 00:00:00,dtnhung@gmail.com,0913314204          ,759351972192,3000000,VL
V0637,Lê Văn Minh,Phong,True,1999-10-06 00:00:00,lvmphong@gmail.com,0913829688          ,107525728527,1000000,VL
V0638,Phạm Vĩnh,Dũng,True,1999-04-17 00:00:00,pvdung@gmail.com,0913123254          ,075377756679,1000000,VL
V0639,Văn Thị Thảo,Dung,False,1999-02-11 00:00:00,vttdung@gmail.com,0913178816          ,885453477796,3000000,VL
V0640,Hoàng Thảo,Hương,False,1999-07-09 00:00:00,hthuong@gmail.com,0913821381          ,164599833383,3000000,VL
V0641,Lê Thị Thanh,Hoa,False,1999-06-02 00:00:00,ltthoa@gmail.com,0913607583          ,768475825158,3000000,VL
V0642,Phạm Thị Thanh,Hương,False,1999-11-04 00:00:00,ptthuong@gmail.com,0168542318          ,514382369016,0,VL
V0643,Đinh Thị,Ly,False,1999-08-17 00:00:00,dtly@gmail.com,0168552949          ,443272852301,2000000,VL
V0644,Đinh Nam,Dũng,True,1999-07-06 00:00:00,dndung@gmail.com,0913501763          ,234175083722,1000000,VL
V0645,Mã Bạch,Thu,True,1999-05-21 00:00:00,mbthu@gmail.com,0913736511          ,629917218830,1000000,VL
V0646,Thái Nam,Sinh,True,1999-01-05 00:00:00,tnsinh@gmail.com,0913020768          ,988421775689,0,VL
V0647,Lâm Phú,Mỹ,True,1999-07-08 00:00:00,lpmy@gmail.com,0987163627          ,712428785839,2000000,VL
V0648,Văn Thảo,Loan,False,1999-06-25 00:00:00,vtloan@gmail.com,0987448851          ,762434564267,0,VL
V0649,Hoàng Thanh,Phương,False,1999-06-02 00:00:00,htphuong@gmail.com,0168513562          ,331898445441,2000000,VL
V0650,Phạm Mạnh,Lộc,True,1999-11-05 00:00:00,pmloc@gmail.com,0913031944          ,483384516785,0,VL
V0651,Thái Thảo,Dung,False,1999-02-13 00:00:00,ttdung@gmail.com,0168142036          ,659597488181,0,VL
V0652,Phạm Bạch,Mỹ,False,1999-01-13 00:00:00,pbmy@gmail.com,0168033051          ,653322679287,0,VL
V0653,Hoàng Mạnh,Vỹ,True,1999-09-14 00:00:00,hmvy@gmail.com,0168431326          ,292135616516,0,VL
V0654,Vương Minh,Thu,False,1999-03-14 00:00:00,vmthu@gmail.com,0913625835          ,878612392182,1000000,VL
V0655,Vương Thị Thanh,Dung,False,1999-08-04 00:00:00,vttdung@gmail.com,0913117751          ,145718058453,3000000,VL
V0656,Đàm Mạnh,Hòa,True,1999-04-22 00:00:00,dmhoa@gmail.com,0987585756          ,530955800864,2000000,VL
V0657,Thái Thị,Hương,False,1999-02-20 00:00:00,tthuong@gmail.com,0168414235          ,899218518281,3000000,VL
V0658,Cao Mạnh,Thiện,True,1999-07-03 00:00:00,cmthien@gmail.com,0913025477          ,688643695157,3000000,VL
V0659,Đặng Thị,Đào,False,1999-11-21 00:00:00,dtdao@gmail.com,0987947345          ,279812838600,1000000,VL
V0660,Đàm Thảo,Loan,False,1999-11-02 00:00:00,dtloan@gmail.com,0987452013          ,635851182689,1000000,VL
V0661,Mã Bạch,Phương,False,1999-08-11 00:00:00,mbphuong@gmail.com,0168329615          ,625524536682,3000000,VL
V0662,Khương Bạch,Thanh,True,1999-01-19 00:00:00,kbthanh@gmail.com,0168816590          ,321283127466,1000000,VL
V0663,Đàm Văn Minh,Trọng,True,1999-02-15 00:00:00,dvmtrong@gmail.com,0913442323          ,145562733047,3000000,VL
V0664,Vương Văn Minh,Mẫn,True,1999-07-16 00:00:00,vvmman@gmail.com,0913425237          ,140809727277,3000000,VL
V0665,Đặng Thị Thanh,Nga,False,1999-03-25 00:00:00,dttnga@gmail.com,0987946343          ,626254750445,0,VL
V0666,Mã Văn Minh,Thiện,True,1999-08-30 00:00:00,mvmthien@gmail.com,0168425757          ,565484777388,0,VL
V0667,Lâm Thảo,Lan,False,1999-06-20 00:00:00,ltlan@gmail.com,0913519630          ,356721333615,3000000,VL
V0668,Lâm Minh,Thu,True,1999-08-23 00:00:00,lmthu@gmail.com,0987564601          ,712452591005,2000000,VL
V0669,Thái Thanh,Tâm,True,1999-07-10 00:00:00,tttam@gmail.com,0168350610          ,366567833589,1000000,VL
V0670,Bạch Thị Thanh,Nga,False,1999-05-22 00:00:00,bttnga@gmail.com,0913282054          ,101439863168,0,VL
V0671,Lâm Vĩnh,Lộc,True,1999-07-19 00:00:00,lvloc@gmail.com,0987854137          ,306534970277,1000000,VL
V0672,Phạm Văn Minh,Thăng,True,1999-11-23 00:00:00,pvmthang@gmail.com,0913864735          ,111586391442,1000000,VL
V0673,Lâm Vĩnh,Trọng,True,1999-04-10 00:00:00,lvtrong@gmail.com,0168534378          ,698227050462,2000000,VL
V0674,Bạch Nam,Thiệu,True,1999-08-14 00:00:00,bnthieu@gmail.com,0168463843          ,387667121219,0,VL
V0675,Phạm Phú,Minh,False,1999-02-09 00:00:00,ppminh@gmail.com,0987665151          ,310384852528,1000000,VL
V0676,Đàm Thảo,Ly,False,1999-05-08 00:00:00,dtly@gmail.com,0913188686          ,625956757207,2000000,VL
V0677,Nguyễn Thị Thanh,Nhung,False,1999-09-10 00:00:00,nttnhung@gmail.com,0168468255          ,361170185369,0,VL
V0678,Phạm Mạnh,Phong,True,1999-04-24 00:00:00,pmphong@gmail.com,0168951332          ,034679708146,3000000,VL
V0679,Phạm Bạch,Minh,True,1999-04-26 00:00:00,pbminh@gmail.com,0168447385          ,160067722343,0,VL
V0680,Thái Bạch,Phương,False,1999-02-21 00:00:00,tbphuong@gmail.com,0987422280          ,146609464494,1000000,VL
V0681,Thái Văn Minh,Hiệu,True,1999-05-23 00:00:00,tvmhieu@gmail.com,0987178085          ,656467247951,2000000,VL
V0682,Trần Văn Minh,Bảo,True,1999-02-04 00:00:00,tvmbao@gmail.com,0987937696          ,669177771179,3000000,VL
V0683,Cao Nam,Mẫn,True,1999-06-23 00:00:00,cnman@gmail.com,0987607898          ,761654322197,1000000,VL
V0684,Mã Văn Minh,Bảo,True,1999-07-16 00:00:00,mvmbao@gmail.com,0913792686          ,166505053521,1000000,VL
V0685,Mã Nam,Sinh,True,1999-08-22 00:00:00,mnsinh@gmail.com,0913136855          ,665228189823,3000000,VL
V0686,Phạm Vĩnh,Phong,True,1999-08-05 00:00:00,pvphong@gmail.com,0913277855          ,941354633623,0,VL
V0687,Khương Ngọc,Mỹ,False,1999-10-20 00:00:00,knmy@gmail.com,0987205473          ,041225753027,1000000,VL
V0688,Lâm Văn Minh,Thiệu,True,1999-11-10 00:00:00,lvmthieu@gmail.com,0913758051          ,956285566479,0,VL
V0689,Vương Nam,Tuấn,True,1999-01-07 00:00:00,vntuan@gmail.com,0987863713          ,529476657405,1000000,VL
